,0,1
Teams,Left,Right
Mount St. Mary's vs Coppin St.,69,60
North Carolina vs Mount St. Mary's,113,74
North Carolina vs Arkansas,108,77
Indiana vs Arkansas,72,86
North Carolina vs Washington St.,68,47
Notre Dame vs George Mason,68,50
Notre Dame vs Washington St.,41,61
Washington St. vs Winthrop,71,40
North Carolina vs Louisville,83,73
Oklahoma vs St. Joseph's,72,64
Oklahoma vs Louisville,48,78
Louisville vs Boise St.,79,61
Louisville vs Tennessee,79,60
Butler vs South Alabama,81,61
Butler vs Tennessee,71,76
Tennessee vs American,72,57
Kansas vs Portland St.,85,61
Kansas vs UNLV,75,56
UNLV vs Kent St.,71,58
Kansas vs Villanova,72,57
Clemson vs Villanova,69,75
Villanova vs Siena,84,72
Vanderbilt vs Siena,62,83
Kansas vs Davidson,59,57
Southern California vs Kansas St.,67,80
Kansas St. vs Wisconsin,55,72
Wisconsin vs Cal State Fullerton,71,56
Wisconsin vs Davidson,56,73
Gonzaga vs Davidson,76,82
Davidson  vs Georgetown,74,70
Georgetown vs UMBC,66,47
Memphis vs Texasâ€“Arlington,87,63
Memphis vs Mississippi State,77,74
Mississippi State vs Oregon,76,69
Memphis vs Michigan State,92,74
Michigan State vs Temple,72,61
Michigan State vs Pittsburgh,65,54
Pittsburgh vs Oral Roberts,82,63
Memphis vs Texas,85,67
Marquette vs Kentucky,74,66
Marquette vs Stanford,81,82
Stanford vs Cornell,77,53
Stanford vs Texas,62,82
Miami (FL) vs Saint Mary's,78,64
Miami (FL) vs Texas,72,75
Texas vs Austin Peay,74,54
UCLA vs Miss Valley St.,70,29
UCLA vs Texas A&M,51,49
BYU vs Texas A&M,62,67
UCLA vs WKU,88,78
Drake vs WKU,99,101
WKU vs San Diego,72,63
Connecticut vs San Diego,69,70
UCLA vs Xavier,76,57
Purdue vs Baylor,90,79
Purdue vs Xavier,78,85
Xavier vs Georgia,73,61
Xavier vs West Virginia,79,75
West Virginia vs Arizona,75 ,65
West Virginia vs Duke,73,67
Duke vs Belmont,71,70
North Carolina vs Kansas,66,84
Kansas vs Memphis,75,68
Memphis vs UCLA,78,63
